HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
corridor,Daegu,2,5,0,76,1985,3,587,57964
corridor,Myung-duk,5,7,5,0,1992,3,576,61504
corridor,Myung-duk,5,7,5,0,1992,3,576,118584
terraced,Sin-nam,0,3,2,475,2008,8,914,177876
mixed,Chil-sung-market,1,7,3,56,1997,5,558,75221
terraced,Banwoldang,0,2,2,524,2007,4,1419,320353
terraced,Sin-nam,0,1,2,536,2006,5,914,252212
mixed,Bangoge,5,5,4,798,2005,7,743,175221
mixed,Myung-duk,5,6,5,536,1993,4,644,173451
terraced,Banwoldang,0,2,2,524,2007,4,1394,282566
terraced,Banwoldang,0,2,2,524,2007,4,1103,199469
mixed,Chil-sung-market,1,7,3,56,2003,5,907,117699
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,182300
terraced,Myung-duk,2,3,1,181,2006,4,903,185840
terraced,Myung-duk,5,7,5,1174,2014,9,846,307079
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,153982
terraced,Myung-duk,2,3,1,181,2006,4,903,302654
corridor,Myung-duk,5,7,5,0,1992,3,355,49115
terraced,Myung-duk,5,7,5,1174,2014,9,640,203539
terraced,Sin-nam,0,1,2,536,2006,5,818,194690
terraced,Sin-nam,0,1,2,536,2006,5,1149,262389
terraced,Sin-nam,0,3,2,475,2008,8,914,176991
terraced,Banwoldang,0,2,2,524,2007,4,1394,230088
corridor,Myung-duk,5,7,5,0,1992,3,576,69026
mixed,Bangoge,5,5,4,798,2005,7,572,205752
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,119469
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,294690
mixed,Myung-duk,1,5,4,79,1992,3,644,118584
mixed,Bangoge,5,5,4,798,2005,7,914,161061
mixed,Bangoge,5,5,4,798,2005,7,572,161946
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,356637
mixed,Myung-duk,5,6,5,536,1993,4,1761,181415
mixed,Bangoge,5,5,4,798,2005,7,743,232743
terraced,Sin-nam,0,1,2,536,2006,5,914,200000
terraced,Banwoldang,0,0,0,203,2014,10,1252,471504
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,207964
mixed,Chil-sung-market,1,7,3,56,1997,5,644,128318
terraced,Myung-duk,5,7,5,1174,2014,9,1291,429203
corridor,Myung-duk,5,7,5,0,1992,3,576,99115
mixed,Myung-duk,1,5,4,79,1992,3,914,150000
terraced,Banwoldang,0,2,2,524,2007,4,1103,207964
terraced,Sin-nam,0,1,2,536,2006,5,1412,238053
mixed,Bangoge,5,5,4,798,2005,7,743,137168
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,371681
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,361061
terraced,Myung-duk,2,3,1,181,2006,4,903,185398
mixed,Bangoge,5,5,4,798,2005,7,743,138053
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,504424
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,307079
mixed,Myung-duk,5,6,5,536,1993,4,644,185840
corridor,Banwoldang,0,3,2,108,2014,2,288,96017
corridor,Myung-duk,5,7,5,0,1992,3,640,112389
mixed,Myung-duk,5,6,5,536,1993,4,1761,256637
terraced,Myung-duk,5,7,5,1174,2014,9,846,310619
corridor,Sin-nam,1,5,2,18,1986,3,508,66371
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,311504
terraced,Sin-nam,0,3,2,475,2008,8,829,202654
terraced,Daegu,0,3,2,400,2015,7,644,254867
terraced,Sin-nam,0,3,2,475,2008,8,914,227433
corridor,Myung-duk,5,7,5,0,1992,3,355,48053
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,274336
mixed,Myung-duk,5,6,5,536,1993,4,914,128318
mixed,Myung-duk,1,5,4,79,1992,3,644,154159
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,202654
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,871,161061
terraced,Banwoldang,0,2,2,524,2007,4,1103,286725
corridor,Daegu,2,5,0,76,1985,3,587,93362
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,362831
mixed,Myung-duk,5,6,5,536,1993,4,914,161061
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,178318
mixed,Myung-duk,5,6,5,536,1993,4,644,178761
mixed,Chil-sung-market,1,7,3,56,1997,5,914,119469
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,217699
mixed,Myung-duk,1,5,4,79,1992,3,914,218584
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,234513
terraced,Sin-nam,0,1,2,536,2006,5,1437,300000
terraced,Myung-duk,5,7,5,1174,2014,9,914,349557
mixed,Myung-duk,5,6,5,536,1993,4,914,206194
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,515929
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,223008
mixed,Myung-duk,5,6,5,536,1993,4,1288,159292
corridor,Myung-duk,5,7,5,0,1992,3,640,64601
terraced,Banwoldang,0,4,1,605,2007,5,1273,336283
corridor,no_subway_nearby,1,4,1,218,2014,1,156,61504
mixed,Bangoge,5,5,4,798,2005,7,572,112566
terraced,Sin-nam,0,1,2,536,2006,5,818,207964
terraced,no_subway_nearby,2,2,1,203,2009,5,910,219469
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,191150
terraced,Daegu,0,3,2,400,2015,7,644,282300
terraced,Sin-nam,0,1,2,536,2006,5,818,262831
terraced,Banwoldang,0,4,1,605,2007,5,1273,380530
corridor,Myung-duk,5,7,5,0,1992,3,576,82300
terraced,Myung-duk,5,7,5,1174,2014,9,843,310176
corridor,Banwoldang,0,3,2,108,2014,2,288,93097
corridor,Myung-duk,5,7,5,0,1992,3,355,32743
mixed,Bangoge,5,5,4,798,2005,7,743,143805
mixed,Chil-sung-market,1,7,3,56,1997,5,644,166371
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,203539
mixed,Myung-duk,5,6,5,536,1993,4,1451,168141
mixed,Myung-duk,5,6,5,536,1993,4,644,135398
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,244911
terraced,Banwoldang,0,4,1,605,2007,5,1273,371681
terraced,Sin-nam,0,3,2,475,2008,8,829,252212
mixed,Myung-duk,5,6,5,536,1993,4,644,130973
terraced,Myung-duk,2,3,1,181,2006,4,857,218584
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,300000
corridor,no_subway_nearby,1,4,1,218,2014,1,156,55752
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,299115
mixed,Myung-duk,5,6,5,536,1993,4,644,97345
mixed,Myung-duk,5,6,5,536,1993,4,644,153982
terraced,Myung-duk,5,7,5,1174,2014,9,846,314159
terraced,Myung-duk,2,3,1,181,2006,4,857,199115
corridor,Daegu,2,5,0,76,1985,3,587,109734
terraced,Sin-nam,0,3,2,475,2008,8,829,199115
mixed,Bangoge,5,5,4,798,2005,7,743,235398
mixed,Bangoge,5,5,4,798,2005,7,1184,309734
terraced,Banwoldang,0,2,2,524,2007,4,1419,229203
corridor,Myung-duk,5,7,5,0,1992,3,576,109734
terraced,Sin-nam,0,3,2,475,2008,8,914,169911
terraced,Banwoldang,0,2,2,524,2007,4,1419,349557
mixed,Myung-duk,5,6,5,536,1993,4,1761,305309
terraced,no_subway_nearby,2,2,1,203,2009,5,910,192920
terraced,Banwoldang,0,2,2,524,2007,4,914,165486
corridor,Myung-duk,5,7,5,0,1992,3,640,54867
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,130973
terraced,Sin-nam,0,1,2,536,2006,5,1743,292035
mixed,Bangoge,5,5,4,798,2005,7,743,251327
terraced,Banwoldang,0,2,2,524,2007,4,1419,253097
terraced,Myung-duk,2,3,1,181,2006,4,857,265486
mixed,Myung-duk,5,6,5,536,1993,4,914,155752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,340707
terraced,Banwoldang,0,2,2,524,2007,4,1394,407079
terraced,Banwoldang,0,2,2,524,2007,4,1419,259292
corridor,Daegu,2,5,0,76,1985,3,676,94955
terraced,Myung-duk,5,7,5,1174,2014,9,640,246017
corridor,no_subway_nearby,1,4,1,218,2014,1,138,54867
terraced,Myung-duk,2,3,1,181,2006,4,903,207079
terraced,Sin-nam,0,1,2,536,2006,5,914,238053
terraced,Sin-nam,0,3,2,475,2008,8,829,200884
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,308849
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,356637
terraced,Banwoldang,0,2,2,524,2007,4,1366,272566
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,413716
mixed,Myung-duk,1,5,4,79,1992,3,644,115044
mixed,Myung-duk,5,6,5,536,1993,4,644,179646
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,305309
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,164601
mixed,Myung-duk,5,6,5,536,1993,4,644,150442
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,159292
terraced,Myung-duk,2,3,1,181,2006,4,903,174336
terraced,Myung-duk,5,7,5,1174,2014,9,914,366371
mixed,Myung-duk,1,5,4,79,1992,3,914,115044
mixed,Myung-duk,5,6,5,536,1993,4,644,132743
corridor,Banwoldang,0,3,2,108,2014,2,213,74778
terraced,Sin-nam,0,3,2,475,2008,8,914,211150
terraced,Myung-duk,5,7,5,1174,2014,9,914,334513
terraced,Myung-duk,5,7,5,1174,2014,9,843,307964
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,517699
terraced,Banwoldang,0,2,2,524,2007,4,914,207079
terraced,Banwoldang,0,2,2,524,2007,4,914,192920
terraced,Sin-nam,0,3,2,475,2008,8,829,214159
terraced,Sin-nam,0,3,2,475,2008,8,829,176991
corridor,Banwoldang,0,3,2,108,2014,2,288,101327
corridor,Daegu,2,5,0,76,1985,3,587,61946
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,336283
terraced,Sin-nam,0,1,2,536,2006,5,1149,376106
terraced,no_subway_nearby,2,2,1,203,2009,5,910,276991
terraced,Myung-duk,2,3,1,181,2006,4,903,180973
mixed,Myung-duk,5,6,5,536,1993,4,644,80530
terraced,Sin-nam,0,1,2,536,2006,5,914,194690
mixed,Myung-duk,5,6,5,536,1993,4,644,149115
terraced,no_subway_nearby,2,2,1,203,2009,5,910,161061
terraced,Sin-nam,0,1,2,536,2006,5,914,294690
mixed,Myung-duk,5,6,5,536,1993,4,644,157079
corridor,no_subway_nearby,1,4,1,218,2014,1,163,60176
corridor,Daegu,2,5,0,76,1985,3,587,92920
mixed,Bangoge,5,5,4,798,2005,7,572,73008
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,398230
mixed,Myung-duk,1,5,4,79,1992,3,1448,169911
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,253982
corridor,no_subway_nearby,1,4,1,218,2014,1,135,54424
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,326548
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,293238
terraced,Myung-duk,5,7,5,1174,2014,9,640,241592
terraced,Sin-nam,0,1,2,536,2006,5,818,205309
terraced,Sin-nam,0,3,2,475,2008,8,829,222123
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,268141
terraced,Sin-nam,0,1,2,536,2006,5,818,211504
mixed,Bangoge,5,5,4,798,2005,7,914,273451
terraced,Sin-nam,0,3,2,475,2008,8,914,212389
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,176106
mixed,Bangoge,5,5,4,798,2005,7,914,201769
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,327433
terraced,Sin-nam,0,1,2,536,2006,5,1437,279646
corridor,Banwoldang,0,3,2,108,2014,2,288,103982
corridor,Myung-duk,5,7,5,0,1992,3,355,61946
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,339823
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,345132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,423008
corridor,Myung-duk,5,7,5,0,1992,3,576,91592
terraced,Banwoldang,0,4,1,605,2007,5,1444,313274
corridor,Myung-duk,5,7,5,0,1992,3,355,40088
mixed,Bangoge,5,5,4,798,2005,7,914,228761
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,486725
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,480530
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,351769
terraced,Sin-nam,0,3,2,475,2008,8,829,197345
terraced,Sin-nam,0,3,2,475,2008,8,914,307964
mixed,Bangoge,5,5,4,798,2005,7,743,142920
mixed,Bangoge,5,5,4,798,2005,7,914,163716
terraced,Sin-nam,0,3,2,475,2008,8,829,196460
corridor,Daegu,2,5,0,76,1985,3,587,79646
mixed,Chil-sung-market,1,7,3,56,1997,5,644,172566
corridor,Myung-duk,5,7,5,0,1992,3,576,65929
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,200884
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,345132
corridor,Myung-duk,5,7,5,0,1992,3,355,73893
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,176106
terraced,Sin-nam,0,1,2,536,2006,5,1743,415929
corridor,Myung-duk,5,7,5,0,1992,3,355,37610
corridor,Myung-duk,5,7,5,0,1992,3,576,84070
terraced,Sin-nam,0,3,2,475,2008,8,829,159292
corridor,Sin-nam,1,5,2,18,1986,3,508,109734
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,232743
terraced,Banwoldang,0,4,1,605,2007,5,1483,384955
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,146902
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,284070
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,280530
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,363716
terraced,Banwoldang,0,2,2,524,2007,4,1369,261061
mixed,Bangoge,5,5,4,798,2005,7,743,136725
terraced,no_subway_nearby,2,2,1,203,2009,5,910,185840
terraced,Sin-nam,0,1,2,536,2006,5,914,308849
corridor,Myung-duk,5,7,5,0,1992,3,576,119026
terraced,Myung-duk,5,7,5,1174,2014,9,910,334955
terraced,Myung-duk,2,3,1,181,2006,4,1192,230088
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,190265
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,381415
mixed,Myung-duk,5,6,5,536,1993,4,644,184513
corridor,no_subway_nearby,1,4,1,218,2014,1,192,71681
terraced,Banwoldang,0,2,2,524,2007,4,914,216814
terraced,Myung-duk,5,7,5,1174,2014,9,644,268141
terraced,Myung-duk,5,7,5,1174,2014,9,640,276106
terraced,no_subway_nearby,2,2,1,203,2009,5,910,168141
corridor,Sin-nam,1,5,2,18,1986,3,508,94690
mixed,Bangoge,5,5,4,798,2005,7,572,110619
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,228318
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,389380
corridor,Myung-duk,5,7,5,0,1992,3,355,65486
corridor,Myung-duk,5,7,5,0,1992,3,576,114159
mixed,Myung-duk,1,5,4,79,1992,3,644,166371
mixed,Myung-duk,1,5,4,79,1992,3,914,203539
terraced,Myung-duk,5,7,5,1174,2014,9,644,253982
corridor,Myung-duk,5,7,5,0,1992,3,640,88495
terraced,Sin-nam,0,3,2,475,2008,8,914,226548
mixed,Bangoge,5,5,4,798,2005,7,914,182743
mixed,Bangoge,5,5,4,798,2005,7,743,197345
terraced,Myung-duk,2,3,1,181,2006,4,903,190265
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,214159
mixed,Bangoge,5,5,4,798,2005,7,743,183628
mixed,Bangoge,5,5,4,798,2005,7,743,250000
terraced,Myung-duk,5,7,5,1174,2014,9,644,264601
corridor,Myung-duk,5,7,5,0,1992,3,355,80530
mixed,Myung-duk,5,6,5,536,1993,4,1288,181415
mixed,Bangoge,5,5,4,798,2005,7,914,278761
terraced,Sin-nam,0,1,2,536,2006,5,1412,386725
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,451327
mixed,Myung-duk,1,5,4,79,1992,3,644,82035
mixed,Myung-duk,1,5,4,79,1992,3,644,122123
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,198849
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,154867
terraced,Sin-nam,0,3,2,475,2008,8,1167,216814
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,185840
mixed,Bangoge,5,5,4,798,2005,7,743,123893
mixed,Myung-duk,1,5,4,79,1992,3,644,80973
mixed,Myung-duk,5,6,5,536,1993,4,644,192920
corridor,Myung-duk,5,7,5,0,1992,3,576,123008
mixed,Myung-duk,5,6,5,536,1993,4,644,176548
corridor,Sin-nam,1,5,2,18,1986,3,910,199115
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,199115
mixed,Myung-duk,5,6,5,536,1993,4,644,93362
terraced,Banwoldang,0,2,2,524,2007,4,1394,233628
terraced,Sin-nam,0,1,2,536,2006,5,1149,281415
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,149557
terraced,Sin-nam,0,3,2,475,2008,8,914,326548
mixed,Bangoge,5,5,4,798,2005,7,743,146460
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,240707
mixed,Myung-duk,5,6,5,536,1993,4,644,154867
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,197345
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,237168
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,303539
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,309734
corridor,Sin-nam,1,5,2,18,1986,3,508,51327
terraced,Sin-nam,0,1,2,536,2006,5,1437,271681
terraced,Sin-nam,0,1,2,536,2006,5,818,170796
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,111504
mixed,Myung-duk,5,6,5,536,1993,4,914,113274
corridor,Daegu,2,5,0,76,1985,3,587,86283
terraced,Sin-nam,0,3,2,475,2008,8,914,274336
terraced,Banwoldang,0,4,1,605,2007,5,1483,309734
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,208407
terraced,Myung-duk,2,3,1,181,2006,4,857,223008
terraced,Myung-duk,2,3,1,181,2006,4,903,230088
terraced,Sin-nam,0,3,2,475,2008,8,914,233628
mixed,Bangoge,5,5,4,798,2005,7,572,115044
mixed,Myung-duk,5,6,5,536,1993,4,644,182743
terraced,Banwoldang,0,4,1,605,2007,5,1629,458407
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,250442
mixed,Bangoge,5,5,4,798,2005,7,743,212389
mixed,Bangoge,5,5,4,798,2005,7,914,175221
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,216814
terraced,Banwoldang,0,4,1,605,2007,5,1690,451327
corridor,Sin-nam,1,5,2,18,1986,3,547,57522
terraced,Sin-nam,0,1,2,536,2006,5,1743,349557
terraced,Banwoldang,0,0,0,203,2014,10,914,340707
terraced,Sin-nam,0,1,2,536,2006,5,1743,278761
mixed,Bangoge,5,5,4,798,2005,7,1184,219469
mixed,Bangoge,5,5,4,798,2005,7,743,221238
terraced,Banwoldang,0,2,2,524,2007,4,1394,238938
mixed,Myung-duk,1,5,4,79,1992,3,1448,140707
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,201769
corridor,Myung-duk,5,7,5,0,1992,3,640,110619
terraced,Myung-duk,5,7,5,1174,2014,9,914,353097
terraced,Sin-nam,0,3,2,475,2008,8,829,243362
terraced,Myung-duk,5,7,5,1174,2014,9,640,283185
terraced,Banwoldang,0,2,2,524,2007,4,1103,250442
mixed,Bangoge,5,5,4,798,2005,7,914,209734
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,207964
mixed,Myung-duk,5,6,5,536,1993,4,644,189380
corridor,no_subway_nearby,1,4,1,218,2014,1,156,59292
terraced,Banwoldang,0,0,0,203,2014,10,914,388495
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,185840
mixed,Myung-duk,5,6,5,536,1993,4,914,132300
mixed,Myung-duk,5,6,5,536,1993,4,644,119469
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,460176
terraced,Myung-duk,5,7,5,1174,2014,9,843,325663
terraced,Banwoldang,0,4,1,605,2007,5,1629,460176
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,218584
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,346902
mixed,Chil-sung-market,1,7,3,56,1997,5,558,110176
terraced,Sin-nam,0,3,2,475,2008,8,829,253097
terraced,Sin-nam,0,3,2,475,2008,8,829,168141
corridor,Banwoldang,0,3,2,108,2014,2,288,107079
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,285840
terraced,Banwoldang,0,2,2,524,2007,4,1366,381415
mixed,Bangoge,5,5,4,798,2005,7,914,266371
mixed,Chil-sung-market,1,7,3,56,1997,5,644,85398
terraced,Banwoldang,0,0,0,203,2014,10,914,349557
terraced,Sin-nam,0,3,2,475,2008,8,1167,336283
terraced,Banwoldang,0,4,1,605,2007,5,1334,343362
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,318584
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,269911
mixed,Bangoge,5,5,4,798,2005,7,743,209734
terraced,no_subway_nearby,2,2,1,203,2009,5,910,143212
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,458407
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,464601
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,246230
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,156637
mixed,Chil-sung-market,1,7,3,56,1997,5,914,173451
mixed,Myung-duk,5,6,5,536,1993,4,644,96902
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,215929
terraced,Sin-nam,0,1,2,536,2006,5,914,189823
corridor,Daegu,2,5,0,76,1985,3,676,64601
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,140707
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,393805
mixed,Myung-duk,1,5,4,79,1992,3,1448,137168
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,408849
mixed,Myung-duk,5,6,5,536,1993,4,644,118141
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,358407
mixed,Myung-duk,5,6,5,536,1993,4,644,94690
mixed,Bangoge,5,5,4,798,2005,7,914,165929
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,234513
mixed,Myung-duk,1,5,4,79,1992,3,644,151327
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,477876
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,248884
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,238053
terraced,Myung-duk,2,3,1,181,2006,4,903,212389
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,199115
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,247345
mixed,Bangoge,5,5,4,798,2005,7,572,103539
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,298230
terraced,Myung-duk,5,7,5,1174,2014,9,914,371681
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,190265
mixed,Bangoge,5,5,4,798,2005,7,743,128318
mixed,Bangoge,5,5,4,798,2005,7,914,169292
mixed,Myung-duk,5,6,5,536,1993,4,914,130973
terraced,no_subway_nearby,2,2,1,203,2009,5,910,265486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,286725
terraced,no_subway_nearby,2,2,1,203,2009,5,910,307964
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,400000
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,208849
mixed,Chil-sung-market,1,7,3,56,1997,5,558,66814
terraced,Myung-duk,5,7,5,1174,2014,9,914,338053
corridor,Myung-duk,5,7,5,0,1992,3,576,65486
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,144690
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,188053
corridor,Myung-duk,5,7,5,0,1992,3,640,129203
mixed,Myung-duk,5,6,5,536,1993,4,644,86283
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,335398
mixed,Bangoge,5,5,4,798,2005,7,743,185840
terraced,Banwoldang,0,4,1,605,2007,5,1483,314159
mixed,Myung-duk,5,6,5,536,1993,4,644,89380
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,221238
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,226548
terraced,Banwoldang,0,2,2,524,2007,4,1103,292035
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,323008
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,361061
terraced,Sin-nam,0,3,2,475,2008,8,1167,307964
mixed,Bangoge,5,5,4,798,2005,7,914,210176
mixed,Myung-duk,5,6,5,536,1993,4,1761,185840
mixed,Chil-sung-market,1,7,3,56,1997,5,558,143362
mixed,Myung-duk,5,6,5,536,1993,4,644,90265
terraced,Sin-nam,0,1,2,536,2006,5,1437,300884
terraced,Myung-duk,5,7,5,1174,2014,9,910,362831
mixed,Myung-duk,1,5,4,79,1992,3,914,221238
terraced,Banwoldang,0,4,1,605,2007,5,1273,291150
mixed,Bangoge,5,5,4,798,2005,7,1184,166814
terraced,Sin-nam,0,3,2,475,2008,8,829,165486
terraced,Myung-duk,5,7,5,1174,2014,9,910,353982
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,278761
mixed,Chil-sung-market,1,7,3,56,1997,5,644,74778
terraced,Banwoldang,0,2,2,524,2007,4,1103,261061
mixed,Bangoge,5,5,4,798,2005,7,572,169469
mixed,Myung-duk,1,5,4,79,1992,3,644,163716
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,1327,203539
corridor,Myung-duk,5,7,5,0,1992,3,355,49734
terraced,Sin-nam,0,1,2,536,2006,5,1437,278318
terraced,Banwoldang,0,2,2,524,2007,4,1366,392743
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,212389
terraced,Myung-duk,2,3,1,181,2006,4,903,247787
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,170796
terraced,Banwoldang,0,4,1,605,2007,5,1690,460176
mixed,Myung-duk,5,6,5,536,1993,4,1451,218584
terraced,Myung-duk,2,3,1,181,2006,4,903,274336
terraced,Sin-nam,0,1,2,536,2006,5,1437,424778
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,254867
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,376991
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,354867
mixed,Myung-duk,5,6,5,536,1993,4,1288,176991
terraced,Myung-duk,2,3,1,181,2006,4,903,265486
mixed,Myung-duk,5,6,5,536,1993,4,914,134513
terraced,Banwoldang,0,2,2,524,2007,4,1103,209734
